NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2020,"21,464"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2021,"20,563"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2022,"22,090"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2023,"16,268"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2024,"16,545"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2025,"14,313"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2020,"27,526"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2021,"35,913"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2022,"38,687"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2023,"38,066"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2024,"41,750"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2025,"34,306"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2020,"18,839"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2021,"17,838"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2022,"16,868"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2023,"16,665"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2024,"16,046"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2025,"14,686"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2021,"468,932"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2023,"430,653"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2024,"441,202"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2025,"450,236"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2023,"127,493"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2024,"127,059"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2025,"144,599"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2020,"19,790"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2022,"23,987"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2023,"25,483"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2024,"25,586"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2025,"21,400"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2020,"14,404"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2022,"19,041"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2023,"23,274"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2024,"22,583"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2025,"18,024"
