NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2000,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2001,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2002,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2003,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2004,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2005,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2006,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2007,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2008,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2009,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2000,"24,370"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2001,"25,713"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2002,"23,247"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2003,"22,016"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2004,"20,622"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2005,"19,201"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2006,"18,291"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2007,"19,193"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2008,"17,861"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2009,"19,503"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2000,"33,287"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2001,"31,680"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2002,"31,080"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2003,"27,296"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2004,"27,984"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2005,"24,875"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2006,"26,494"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2007,"26,412"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2008,"24,712"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2009,"24,348"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2000,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2001,"5,202"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2002,"10,589"
