,Park Name,Site_Full_Name,Park_Code
547,Eisenhower NHS,Eisenhower National Historic Site,EISE
3728,El Malpais NM,El Malpais National Monument,ELMA
553,El Morro NM,El Morro National Monument,ELMO
560,Eleanor Roosevelt NHS,Eleanor Roosevelt National Historic Site,ELRO
10566,Emmett Till and Mamie Till-Mobley NM,Emmett Till and Mamie Till-Mobley National Monument,TILL
561,Eugene O'Neill NHS,Eugene O'Neill National Historic Site,EUON
562,Everglades NP,Everglades National Park,EVER
569,Federal Hall NMEM,Federal Hall National Memorial,FEHA
576,Fire Island NS,Fire Island National Seashore,FIIS
10648,First Ladies NHS,First Ladies National Historic Site,FILA
10668,First State NHP,First State National Historical Park,FRST
10671,Flight 93 NMEM,Flight 93 National Memorial,FLNI
583,Florissant Fossil Beds NM,Florissant Fossil Beds National Monument,FLFO
590,Ford's Theatre NHS,Ford's Theatre National Historic Site,FOTH
597,Fort Bowie NHS,Fort Bowie National Historic Site,FOBO
604,Fort Caroline NMEM,Timucuan Ecological & Historic Preserve,TIMU
611,Fort Davis NHS,Fort Davis National Historic Site,FODA
618,Fort Donelson NB,Fort Donelson National Battlefield,FODO
625,Fort Frederica NM,Fort Frederica National Monument,FOFR
632,Fort Laramie NHS,Fort Laramie National Historic Site,FOLA
639,Fort Larned NHS,Fort Larned National Historic Site,FOLS
646,Fort Matanzas NM,Fort Matanzas National Monument,FOMA
653,Fort McHenry NM & HS,Fort McHenry National Monument and Historic Shrine,FOMC
660,Fort Necessity NB,Fort Necessity National Battlefield,FONE
667,Fort Point NHS,Fort Point National Historic Site,FOPO
674,Fort Pulaski NM,Fort Pulaski National Monument,FOPU
681,Fort Raleigh NHS,Fort Raleigh National Historic Site,FORA
688,Fort Scott NHS,Fort Scott National Historic Site,FOSC
695,Fort Smith NHS,Fort Smith National Historic Site,FOSM
702,Fort Stanwix NM,Fort Stanwix National Monument,FOST
709,Fort Sumter and Fort Moultrie NHP,Fort Sumter and Fort Moultrie National Historical Park,FOSU
716,Fort Union NM,Fort Union National Monument,FOUN
723,Fort Union Trading Post NHS,Fort Union Trading Post National Historic Site,FOUS
730,Fort Vancouver NHS,Fort Vancouver National Historic Site,FOVA
737,Fort Washington Park,Fort Washington Park,FOWA
744,Fossil Butte NM,Fossil Butte National Monument,FOBU
4346,Franklin Delano Roosevelt MEM,Franklin Delano Roosevelt Memorial,FRDE
751,Frederick Douglass NHS,Frederick Douglass National Historic Site,FRDO
758,Frederick Law Olmsted NHS,Frederick Law Olmsted National Historic Site,FRLA
763,Fredericksburg & Spotsylvania NMP,Fredericksburg & Spotsylvania National Military Park,FRSP
770,Friendship Hill NHS,Friendship Hill National Historic Site,FRHI
773,Gates of the Arctic NP & PRES,Gates Of The Arctic National Park & Preserve,GAAR
777,Gateway Arch NP,Gateway Arch National Park,JEFF
784,Gateway NRA,Gateway National Recreation Area,GATE
4495,Gauley River NRA,Gauley River National Recreation Area,GARI
791,General Grant NMEM,General Grant National Memorial,GEGR
798,George Rogers Clark NHP,George Rogers Clark National Historical Park,GERO
805,George Washington Birthplace NM,George Washington Birthplace National Monument,GEWA
812,George Washington Carver NM,George Washington Carver National Monument,GWCA
819,George Washington MEM PKWY,George Washington Memorial Parkway,GWMP
826,Gettysburg NMP,Gettysburg National Military Park,GETT
833,Gila Cliff Dwellings NM,Gila Cliff Dwellings National Monument,GICL
840,Glacier Bay NP & PRES,Glacier Bay National Park & Preserve,GLBA
847,Glacier NP,Glacier National Park,GLAC
854,Glen Canyon NRA,Glen Canyon National Recreation Area,GLCA
861,Golden Gate NRA,Golden Gate National Recreation Area,GOGA
868,Golden Spike NHP,Golden Spike National Historical Park,GOSP
4748,Governors Island NM,Governors Island National Monument,GOIS
875,Grand Canyon NP,Grand Canyon National Park,GRCA
882,Grand Portage NM,Grand Portage National Monument,GRPO
889,Grand Teton NP,Grand Teton National Park,GRTE
896,Grant-Kohrs Ranch NHS,Grant-Kohrs Ranch National Historic Site,GRKO
903,Great Basin NP,Great Basin National Park,GRBA
910,Great Sand Dunes NP & PRES,Great Sand Dunes National Park & Preserve,GRSA
917,Great Smoky Mountains NP,Great Smoky Mountains National Park,GRSM
924,Greenbelt Park,Greenbelt Park,GREE
931,Guadalupe Mountains NP,Guadalupe Mountains National Park,GUMO
938,Guilford Courthouse NMP,Guilford Courthouse National Military Park,GUCO
945,Gulf Islands NS,Gulf Islands National Seashore,GUIS
4971,Hagerman Fossil Beds NM,Hagerman Fossil Beds National Monument,HAFO
952,Haleakala NP,Haleakalā National Park,HALE
959,Hamilton Grange NMEM,Hamilton Grange National Memorial,HAGR
966,Hampton NHS,Hampton National Historic Site,HAMP
973,Harpers Ferry NHP,Harpers Ferry National Historical Park,HAFE
11930,Harriet Tubman NHP,Harriet Tubman National Historical Park,HART
11931,Harriet Tubman Underground Railroad NHP,Harriet Tubman Underground Railroad National Historical Park,HATU
980,Harry S Truman NHS,Harry S Truman National Historic Site,HSTR
982,Hawaii Volcanoes NP,Hawaiʻi Volcanoes National Park,HAVO
989,Herbert Hoover NHS,Herbert Hoover National Historic Site,HEHO
996,Home of Franklin D. Roosevelt NHS,Home Of Franklin D Roosevelt National Historic Site,HOFR
1003,Homestead NHP,Homestead National Historical Park,HOME
1010,Hopewell Culture NHP,Hopewell Culture National Historical Park,HOCU
1017,Hopewell Furnace NHS,Hopewell Furnace National Historic Site,HOFU
1024,Horseshoe Bend NMP,Horseshoe Bend National Military Park,HOBE
1031,Hot Springs NP,Hot Springs National Park,HOSP
1038,Hovenweep NM,Hovenweep National Monument,HOVE
1045,Hubbell Trading Post NHS,Hubbell Trading Post National Historic Site,HUTR
12154,Ice Age NST,Ice Age National Scenic Trail,IATR
1052,Independence NHP,Independence National Historical Park,INDE
1059,Indiana Dunes NP,Indiana Dunes National Park,INDU
1066,Isle Royale NP,Isle Royale National Park,ISRO
5342,James A. Garfield NHS,James A Garfield National Historic Site,JAGA
1073,Jean Lafitte NHP & PRES,Jean Lafitte National Historical Park and Preserve,JELA
1080,Jewel Cave NM,Jewel Cave National Monument,JECA
5391,Jimmy Carter NHP,Jimmy Carter National Historical Park,JICA
1087,"John D. Rockefeller, Jr. MEM PKWY",,GRTE
