NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1989,"183,753"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1988,"83,872"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1988,"246,823"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1989,"192,695"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1989,"194,473"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 2.2 (SOUTH OF ROCKFISH GAP),1988,"249,660"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 2.2 (SOUTH OF ROCKFISH GAP),1989,"231,515"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 229.6 (U.S. 21 AT ROARING GAP LEFT),1988,"66,520"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 229.6 (U.S. 21 AT ROARING GAP LEFT),1989,"58,521"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 291.8 (U.S. 221 & U.S. 321 RIGHT),1988,"414,260"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 291.8 (U.S. 221 & U.S. 321 RIGHT),1989,"421,591"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 330.9 (SR 222 AT GILLESPIE GAP RIGHT),1988,"146,068"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 330.9 (SR 222 AT GILLESPIE GAP RIGHT),1989,"193,286"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 382.5 (U.S. 70 RIGHT),1988,"350,455"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 382.5 (U.S. 70 RIGHT),1989,"324,975"
