NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,1993,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,1994,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,1995,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,1996,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,1997,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,1998,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,1999,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,1993,"71,734"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,1994,"68,404"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,1995,"65,530"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,1996,"60,802"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,1997,"58,923"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,1998,"54,778"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,1999,"53,692"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,1993,"12,514"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,1994,"10,255"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,1995,"9,723"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,1996,"9,092"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,1997,"14,663"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,1998,"15,782"
