,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,Sunset Crater Volcano NM,"308,723","312,079","353,815","348,633","375,136","409,112","412,501","360,000",,
,Thaddeus Kosciuszko NMEM,,,"11,220","7,693","7,037","7,052","7,433","8,087",,
,Theodore Roosevelt Birthplace NHS,"13,237","14,876","13,019","12,563","13,163","16,381","17,511","14,393",,
,Theodore Roosevelt Inaugural NHS,"15,888","15,110","16,209","14,975","16,068","15,468","13,150","15,267",,
,Theodore Roosevelt Island,"72,458","60,147","59,284","58,630","55,901","51,714","51,745","58,554",,
,Theodore Roosevelt NP,"591,646","595,734","702,873","677,014","415,118","361,139","377,152","531,525",,
,Thomas Edison NHP,"52,999","44,695","44,514","43,927","39,121","40,796","32,599","42,664",,
,Thomas Jefferson MEM,"2,328,095","1,216,966","1,788,267","1,270,798","1,485,531","1,873,728","2,261,477","1,746,409",,
,Timpanogos Cave NM,"125,080","107,041","104,497","104,630","98,475","119,688","128,622","112,576",,
,Tonto NM,"69,847","60,328","70,528","68,844","70,039","69,665","73,606","68,980",,
,Tumacacori NHP,"59,013","54,996","59,422","58,290","57,922","58,260","58,022","57,989",,
,Tuskegee Institute NHS,"18,913","10,102","32,066","82,990","76,060","95,323","96,655","58,873",,
,Tuzigoot NM,"68,733","73,804","77,886","79,566","80,541","83,668","90,934","79,305",,
,Upper Delaware S&RR,,"77,764","156,437","106,502","223,096","159,854","154,799","146,409",,
,Valley Forge NHP,"3,107,420","3,219,806","3,330,287","3,410,490","3,448,694","3,957,742","4,177,029","3,521,638",,
,Vanderbilt Mansion NHS,"335,275","377,751","427,699","368,936","420,104","383,092","324,128","376,712",,
,Vicksburg NMP,"633,951","834,252","689,442","614,788","653,835","1,112,881","899,674","776,975",,
,Vietnam Veterans MEM,,,,,,"2,303,890","3,978,216","3,141,053",,
,Virgin Islands NP,"549,732","547,918","566,528","673,480","676,800","666,435","699,398","625,756",,
,Voyageurs NP,"195,277","266,935","257,490","143,724","146,454","154,723","183,984","192,655",,
,Walnut Canyon NM,"69,729","75,887","83,098","86,517","88,376","93,628","90,077","83,902",,
,War in the Pacific NHP,,,,,,,"8,623","8,623",,
,Washington Monument,"1,304,790","1,305,760","1,359,061","1,292,284","1,212,736","1,342,093","1,229,062","1,292,255",,
,Whiskeytown NRA,"1,162,390","1,149,628","1,217,135","1,377,648","1,082,532","1,299,089","1,246,433","1,219,265",,
,White House,"1,313,017","1,318,583","1,132,992","1,076,713","1,169,085","1,134,625","1,259,928","1,200,706",,
,White Sands NP,"580,814","511,476","556,494","543,581","492,902","542,930","486,754","530,707",,
,Whitman Mission NHS,"118,136","97,504","97,085","97,811","108,114","105,172","104,050","103,982",,
,William Howard Taft NHS,"4,410","4,746","5,518","3,184","2,964","2,272","1,649","3,535",,
,Wilson's Creek NB,"80,559","75,973","80,047","78,374","93,573","124,011","176,821","101,337",,
,Wind Cave NP,"457,443","473,061","503,424","467,392","503,739","536,022","477,585","488,381",,
,Wolf Trap NP for the Performing Arts,"589,016","619,794","587,926","339,034","258,430","304,738","458,395","451,048",,
,Women's Rights NHP,,,,,"6,759","9,211","14,755","10,242",,
,Wrangell-St. Elias NP & PRES,,,,"14,871","18,760","22,183","23,171","19,746",,
,Wright Brothers NMEM,"396,322","428,809","429,618","415,360","484,289","409,493","448,677","430,367",,
,Wupatki NM,"186,875","161,846","183,448","183,666","190,938","207,893","191,950","186,659",,
,Yellowstone NP,"1,892,908","2,000,269","2,521,831","2,368,897","2,347,242","2,222,027","2,226,159","2,225,619",,
,Yosemite NP,"2,350,782","2,490,282","2,516,893","2,415,587","2,457,464","2,738,467","2,831,952","2,543,061",,
,Yukon-Charley Rivers NPRES,,,,697,955,988,"2,073","1,178",,
,Zion NP,"1,040,528","1,123,846","1,288,808","1,246,290","1,273,030","1,377,254","1,503,272","1,264,718",,
,,,,,,,,,,,
