,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,Chesapeake & Ohio Canal NHP,"2,832,646","3,101,125","5,450,477","6,057,618","6,175,834","6,159,201","6,184,948","5,137,407",,
,Chickamauga & Chattanooga NMP,"866,933","1,145,070","755,259","906,018","1,020,953","1,102,303","1,075,504","981,720",,
,Chickasaw NRA,"1,434,484","1,927,044","1,697,658","2,094,319","2,238,456","2,026,727","2,129,513","1,935,457",,
,Chiricahua NM,"49,484","49,232","51,864","55,058","51,737","59,818","61,680","54,125",,
,Christiansted NHS,"90,790","104,458","57,098","99,531","100,936","80,475","133,603","95,270",,
,Clara Barton NHS,"7,520","7,204","11,289","12,875","13,131","16,790","17,315","12,303",,
,Colonial NHP,"7,172,127","6,338,912","8,558,803","8,518,883","2,068,928","2,504,777","2,138,188","5,328,660",,
,Colorado NM,"290,584","275,229","325,210","319,662","279,492","289,556","319,248","299,854",,
,Congaree NP,,,,,,,"12,332","12,332",,
,Coronado NMEM,"59,751","42,648","46,681","43,330","33,539","39,319","44,026","44,185",,
,Cowpens NB,"78,441","85,766","64,614","52,502","57,842","65,511","79,732","69,201",,
,Crater Lake NP,"410,749","455,143","503,404","435,589","379,008","419,829","390,604","427,761",,
,Craters of the Moon NM & PRES,"220,698","162,454","236,525","294,387","273,693","220,801","172,503","225,866",,
,Cumberland Gap NHP,"452,889","485,666","425,046","632,023","718,375","719,816","729,685","594,786",,
,Cumberland Island NS,"35,811","34,682","37,530","38,450","32,832","32,372","30,077","34,536",,
,Curecanti NRA,"809,007","891,490","988,951","994,265","1,050,217","994,143","1,071,782","971,408",,
,Cuyahoga Valley NP,"543,025","563,300","596,300","717,815","939,562","1,018,828","1,004,858","769,098",,
,De Soto NMEM,"179,738","172,932","165,366","197,272","220,721","221,504","201,869","194,200",,
,Death Valley NP,"631,152","618,140","630,402","679,992","635,582","621,197","576,679","627,592",,
,Delaware Water Gap NRA,"2,002,543","2,470,965","2,396,100","2,135,790","2,293,666","2,136,212","2,186,179","2,231,636",,
,Denali NP & PRES,"251,105","216,361","256,593","321,868","346,082","395,099","436,545","317,665",,
,Devils Postpile NM,"81,323","79,130","86,084","79,999","73,612","97,809","108,678","86,662",,
,Devils Tower NM,"226,091","213,692","285,310","264,303","267,276","219,855","216,787","241,902",,
,Dinosaur NM,"295,837","332,781","345,784","396,938","427,375","493,140","418,187","387,149",,
,Dry Tortugas NP,"9,076","8,644","10,150","10,700","11,004","11,900","13,213","10,670",,
,Edgar Allan Poe NHS,,"2,549","14,055","12,595","13,858","18,178","15,254","12,748",,
,Effigy Mounds NM,"59,064","75,555","79,881","94,305","99,562","92,793","93,074","84,891",,
,Eisenhower NHS,,"164,443","182,387","148,800","145,351","138,095","136,935","152,669",,
,El Morro NM,"29,635","29,523","27,536","29,933","29,278","33,125","47,299","32,333",,
,Eleanor Roosevelt NHS,,,,,,,"30,712","30,712",,
,Eugene O'Neill NHS,,,,,,,"2,814","2,814",,
,Everglades NP,"718,102","744,244","564,721","550,168","577,439","628,658","697,646","640,140",,
,Federal Hall NMEM,"83,680","95,343","103,331","112,387","115,358","157,217","245,148","130,352",,
,Fire Island NS,"465,268","604,401","513,421","539,150","531,183","524,757","552,542","532,960",,
,Florissant Fossil Beds NM,"46,919","66,652","50,747","49,577","51,309","54,845","93,990","59,148",,
,Ford's Theatre NHS,"518,345","647,622","650,903","619,669","704,440","765,739","769,780","668,071",,
,Fort Bowie NHS,"5,827","5,103","5,153","5,055","4,912","5,044","5,635","5,247",,
,Fort Caroline NMEM,"169,209","128,619","110,844","151,607","140,461","145,137","164,145","144,289",,
,Fort Davis NHS,"72,465","63,465","71,179","74,988","71,334","69,004","68,410","70,121",,
,Fort Donelson NB,"317,415","343,964","336,538","233,631","280,644","261,960","300,404","296,365",,
,Fort Frederica NM,"392,405","298,718","247,469","233,710","254,739","252,159","231,010","272,887",,
,Fort Laramie NHS,"106,583","89,861","121,212","94,936","97,090","89,745","81,531","97,280",,
,Fort Larned NHS,"22,908","24,036","22,616","24,419","60,788","67,292","58,625","40,098",,
,Fort Matanzas NM,"251,507","254,243","270,207","247,694","250,790","301,115","333,170","272,675",,
