NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2010,"12,017"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2011,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2012,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2013,"10,420"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2014,"26,761"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2015,"2,609"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2016,"25,354"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2017,"29,486"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2018,"26,787"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2019,"19,415"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2010,"38,474"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2011,"35,950"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2012,"38,402"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2013,"37,210"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2014,"34,665"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2015,"32,186"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2016,"38,363"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2017,"38,832"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2018,"39,019"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2019,"38,323"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2010,"12,099"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2011,"10,430"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2012,"10,328"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2013,"9,621"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2014,"7,402"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2015,"8,329"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2016,"9,323"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2017,"9,792"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2018,"10,253"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,"12,116"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2010,"284,466"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2011,"267,797"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2012,"276,804"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2013,"254,294"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2014,"292,912"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2015,"319,909"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2016,"375,809"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2017,"377,759"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2018,"370,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2019,"361,493"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2010,"82,116"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2011,"79,019"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2012,"77,618"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2013,"70,306"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2014,"72,887"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2015,"87,976"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2016,"109,706"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2017,"113,601"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2018,"112,187"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2019,"113,904"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2010,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2011,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2012,"3,290"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2013,"16,581"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2014,"22,133"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2015,"23,031"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2016,"26,200"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2017,"27,457"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,"25,818"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,"25,568"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2010,"19,235"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2011,"19,746"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2012,"19,943"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2013,"16,711"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2014,"18,709"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2015,"17,535"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2016,"19,985"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2017,"21,823"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2018,"20,217"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2019,"20,589"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2010,"23,212"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2011,"25,618"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2012,"27,567"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2013,"23,008"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2014,"24,642"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2015,"23,300"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2016,"23,916"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2017,"24,941"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2018,"24,012"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2019,"23,410"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2010,"8,443"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2011,"10,196"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2012,"16,717"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2013,"12,466"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2014,"15,301"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2015,"15,225"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2016,"17,730"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2017,"18,254"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2018,"17,500"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2019,"18,111"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2010,"52,598"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2011,"47,780"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2012,"47,067"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2013,"9,367"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2014,"17,013"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2015,"28,825"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2016,"32,628"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2017,"30,338"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,"23,502"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,"33,242"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2010,"51,283"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2011,"45,933"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2012,"56,090"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2013,"44,824"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2014,"51,277"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2015,"39,522"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2016,"51,314"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2017,"54,003"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2018,"51,245"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2019,"43,653"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2010,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2011,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2012,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2010,"17,278"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2011,"14,463"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2012,"14,411"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2013,"11,068"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2014,"10,680"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2015,"11,496"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2016,"11,263"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2017,"12,347"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2018,"9,357"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2019,"7,942"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2010,"85,467"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2011,"73,338"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2012,"89,520"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2013,"71,250"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2014,"63,447"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2015,"70,079"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2016,"59,387"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2017,"59,741"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2018,"58,073"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2019,"62,203"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2010,"30,514"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2011,"30,665"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2012,"28,489"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2013,"25,257"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2014,"33,732"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2015,"36,492"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2016,"31,611"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2017,"32,541"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2018,"28,905"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2019,"49,335"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2010,"28,107"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2011,"16,438"
