,Visitors Scaled,Area Scaled,cei_pct_area,RONI
2719,0.017884438843016305,0.0011616023694404878,0.11,0.6
1009,0.005313895151574331,0.0018295140743831563,0.3452,2.5
402,0.03265419243785422,0.0006760239928569517,0.198,1.6
2133,0.014072801706660936,0.010307656158430495,0.19940000000000002,2.2
1853,0.0857225412753421,0.0014529436724361727,0.1376,0.0
452,0.14417865490463558,2.7727714246704177e-05,0.2332,0.6
1790,0.023177098741747743,0.06680464805196569,0.33020000000000005,2.2
1290,0.0026199220067277635,0.0010309902418046972,0.198,1.6
2480,0.0028903538591714332,4.62128570778403e-06,0.4374,1.2
1858,0.1165265442475515,0.0014529436724361727,0.2116,-0.3
1357,0.0032174130525294818,0.011729195118394264,0.109,-1.6
487,0.02985349853513055,1.4307386092210617e-06,0.10619999999999999,0.6
2743,0.019783451240411015,0.004579236300059023,0.198,1.6
438,0.020217412689533705,0.0006760239928569517,0.13019999999999998,-0.8
1813,0.060861686630829304,0.0010950014871812476,0.36219999999999997,0.5
1773,0.02453488443848002,0.06680464805196569,0.0006,-1.5
1894,0.06606777203720125,0.0014529436724361727,0.132,-1.2
2096,0.04986781508850018,0.4731293196412984,0.0834,0.3
2038,0.02088042447273956,0.006515626548550992,0.3642,0.1
1373,0.0039005711012529524,0.011729195118394264,0.4428,1.2
1692,0.02113434001741654,0.0018220599262291145,0.41600000000000004,0.5
330,0.1497938365495364,0.11995312499709382,0.2086,0.6
2552,0.035999924496878784,0.004489242841539018,0.1882,-0.9
993,0.02502928468415556,0.16345795157233095,0.1202,-0.6
924,0.014498232755068964,0.003614603714949998,0.12119999999999999,0.0
1840,0.01768896561812917,0.0010950014871812476,0.1184,0.1
1535,0.007845972180729788,0.0010157814903886773,0.1334,0.6
2689,0.02057169656602367,0.0011616023694404878,0.2018,-1.7
663,0.057846462225026166,0.02938220606702132,0.1882,-0.9
2725,0.015694666829772767,0.0011616023694404878,0.5256000000000001,-1.1
2489,0.5613159758433571,8.35265200063256e-05,0.053,1.6
2805,0.04830729625137893,0.05065076501808047,0.491,0.9
1757,0.012475620296255372,0.06680464805196569,0.5682,2.5
2317,0.004952895853245164,0.0004441728012326786,0.201,-1.5
1136,0.03413775617065593,0.000436861726939559,0.4192,-0.7
581,0.0031246676319934314,0.00016676689229080697,0.33020000000000005,2.2
2050,0.017657203487808606,0.006515626548550992,0.14,0.3
1421,0.01078605646108885,0.0003433772662130548,0.1162,0.6
303,0.051548122531401855,0.11995312499709382,0.12240000000000001,0.6
132,0.007994981946405126,0.000455547173175986,0.1444,0.6
1693,0.024915122512889073,0.0018220599262291145,0.445,2.2
526,0.7915184585166614,1.4307386092210617e-06,0.3968,0.6
728,0.03957307340899859,1.0,0.2582,-0.2
144,0.009575102555381357,0.000455547173175986,0.45439999999999997,-0.7
1417,0.01746626771011012,0.0009359748907663265,0.1716,-1.2
2215,0.019091762790972876,0.00042504382602739303,0.19039999999999999,0.7
979,0.019784721725623837,0.16345795157233095,0.1524,-1.5
204,0.00036916670326874064,4.86451127135161e-07,0.36060000000000003,-0.8
41,0.0024540329375106404,0.004375012670978808,0.36939999999999995,-0.9
2700,0.02060454768366951,0.0011616023694404878,0.195,-1.7
1985,0.013337190768436646,0.010925821081930546,0.5376,-1.2
2028,0.011106763228382785,0.0005150658993195822,0.4104,-1.1
2102,0.04688199334047951,0.4731293196412984,0.195,-1.7
2592,0.020735589158477785,0.00035768465230526545,0.1378,0.2
4,0.010227042967446903,5.007585132273716e-07,0.18,0.5
1916,0.1561567894911271,0.0007919853571343187,0.4722,2.2
2722,0.021169732105488025,0.0011616023694404878,0.132,-1.2
2077,0.0062075907498512625,0.006515626548550992,0.45380000000000004,-1.2
2684,0.015185565255205995,0.0011616023694404878,0.2488,-0.5
745,0.032124763099882284,0.07645529473365578,0.21960000000000002,-0.9
768,0.051768097971107714,1.0,0.18,-0.7
896,0.0745488053264548,0.3008584617651346,0.1524,-1.5
390,0.01935184926382642,0.0011343467989348268,0.5376,-1.2
2696,0.02094685269958143,0.0011616023694404878,0.1882,-0.9
