,Code_Year,Traffic Count,Traffic Count Scaled,trf_annual_chg,trf_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Traffic Trend Cat,Traffic Trend Bins,Traffic Trend Chg,Traffic Trend UpDn,Traffic Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
24,ABLI-2018,76059.0,0.0021771102160078955,-2051.0,-0.02625784150556907,National Historical Park,344.5,Ohio Valley,0.34740000000000004,-1.1,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Increased,Medium,5,4,2,1,0,1,2
25,ABLI-2019,69854.0,0.0019994985081189017,-6205.0,-0.0815814039101224,National Historical Park,344.5,Ohio Valley,0.41600000000000004,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Extreme,Medium,5,4,2,0,4,0,2
26,ABLI-2020,67829.0,0.0019415349773412686,-2025.0,-0.028989034271480515,National Historical Park,344.5,Ohio Valley,0.35340000000000005,0.1,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Increased,Medium,5,4,2,2,1,1,2
27,ABLI-2021,74314.0,0.0021271613956587746,6485.0,0.09560807324300816,National Historical Park,344.5,Ohio Valley,0.33840000000000003,-1.2,Minimal Change,0,0,1,0,La Niña,Moderate,Moderate La Niña,Increased,Medium,5,4,2,1,0,1,2
28,ABLI-2022,77645.0,0.0022225078257922543,3331.0,0.04482331727534516,National Historical Park,344.5,Ohio Valley,0.061399999999999996,-1.2,Minimal Change,0,0,1,0,La Niña,Moderate,Moderate La Niña,Nominal,Medium,5,4,2,1,0,2,2
29,ABLI-2023,70999.0,0.0020322729489783533,-6646.0,-0.0855946937986992,National Historical Park,344.5,Ohio Valley,0.38880000000000003,-0.8,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Increased,Medium,5,4,2,1,4,1,2
30,ABLI-2024,74341.0,0.00212793424273581,3342.0,0.047071085508246596,National Historical Park,344.5,Ohio Valley,0.4374,1.2,Minimal Change,0,0,1,0,El Niño,Moderate,Moderate El Niño,Extreme,Medium,5,4,2,0,0,0,2
31,ABLI-2025,63305.0,0.001812040155989164,-11036.0,-0.14845105661747893,National Historical Park,344.5,Ohio Valley,0.1974,-1.1,Decrease,-1,1,0,0,La Niña,Moderate,Moderate La Niña,Nominal,Medium,5,4,0,1,0,2,2
32,ACAD-1991,460873.0,0.013192012997570397,-22765.0,-0.0470703294612913,National Park,49076.65,Northeast,0.2724,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,13,1,2,0,4,1,5
33,ACAD-1992,473374.0,0.013549841194237652,12501.0,0.027124609165648673,National Park,49076.65,Northeast,0.1628,2.3,Minimal Change,0,0,1,0,El Niño,Very Strong,Very Strong El Niño,Nominal,Very Large,13,1,2,0,3,2,5
34,ACAD-1993,486100.0,0.013914109783213533,12726.0,0.02688360577471513,National Park,49076.65,Northeast,0.021,0.5,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Nominal,Very Large,13,1,2,0,4,2,5
35,ACAD-1994,486241.0,0.013918145762393605,141.0,0.0002900637728862374,National Park,49076.65,Northeast,0.1168,0.3,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,13,1,2,2,1,2,5
36,ACAD-1995,535548.0,0.01532950764488879,49307.0,0.10140444758874714,National Park,49076.65,Northeast,0.064,1.3,Increase,1,1,1,0,El Niño,Moderate,Moderate El Niño,Nominal,Very Large,13,1,1,0,0,2,5
37,ACAD-1996,511376.0,0.014637609143181657,-24172.0,-0.04513507659444158,National Park,49076.65,Northeast,0.31079999999999997,-0.9,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Increased,Very Large,13,1,2,1,4,1,5
38,ACAD-1997,518857.0,0.014851745031452014,7481.0,0.014629157410594161,National Park,49076.65,Northeast,0.059000000000000004,-0.2,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,13,1,2,2,1,2,5
39,ACAD-1998,507714.0,0.014532788180363044,-11143.0,-0.021476052168516568,National Park,49076.65,Northeast,0.4708,2.2,Minimal Change,0,0,0,0,El Niño,Very Strong,Very Strong El Niño,Extreme,Very Large,13,1,2,0,3,0,5
40,ACAD-1999,456704.0,0.013072679684083014,-51010.0,-0.10046994961730422,National Park,49076.65,Northeast,0.365,-1.5,Decrease,-1,1,0,0,La Niña,Strong,Strong La Niña,Increased,Very Large,13,1,0,1,2,1,5
41,ACAD-2000,485762.0,0.013904434882767686,29058.0,0.06362545543721973,National Park,49076.65,Northeast,0.1158,-1.7,Minimal Change,0,0,1,0,La Niña,Strong,Strong La Niña,Nominal,Very Large,13,1,2,1,2,2,5
42,ACAD-2001,492039.0,0.014084107516195439,6277.0,0.012921965900996785,National Park,49076.65,Northeast,0.21960000000000002,-0.6,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Increased,Very Large,13,1,2,1,4,1,5
43,ACAD-2002,485296.0,0.013891096114697375,-6743.0,-0.013704198244448103,National Park,49076.65,Northeast,0.155,-0.1,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Nominal,Very Large,13,1,2,2,1,2,5
44,ACAD-2003,358605.0,0.010264697261487942,-126691.0,-0.2610592298308661,National Park,49076.65,Northeast,0.3132,0.9,Decrease,-1,1,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,13,1,0,0,4,1,5
45,ACAD-2004,325954.0,0.009330096153625969,-32651.0,-0.0910500411316072,National Park,49076.65,Northeast,0.2168,0.3,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Increased,Very Large,13,1,2,2,1,1,5
46,ACAD-2005,305286.0,0.008738496028138504,-20668.0,-0.06340772010774526,National Park,49076.65,Northeast,0.2868,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,13,1,2,0,4,1,5
47,ACAD-2006,313123.0,0.008962822048239397,7837.0,0.025671010134758882,National Park,49076.65,Northeast,0.637,-0.9,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Extreme,Very Large,13,1,2,1,4,0,5
48,ACAD-2007,329359.0,0.009427560757229841,16236.0,0.05185182819530983,National Park,49076.65,Northeast,0.10679999999999999,0.6,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Nominal,Very Large,13,1,2,0,4,2,5
49,ACAD-2008,305354.0,0.008740442457814,-24005.0,-0.07288399588291196,National Park,49076.65,Northeast,0.2352,-1.6,Minimal Change,0,0,0,0,La Niña,Strong,Strong La Niña,Increased,Very Large,13,1,2,1,2,1,5
