,Code_Year,Visitors,Visitors Scaled,vis_annual_chg,vis_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Visitor Trend Cat,Visitor Trend Bins,Visitor Trend Chg,Visitor Trend UpDn,Visitor Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
20,ABLI-2000,236180.0,0.010850282094471052,-15024.0,-0.05980796484132418,National Historical Park,344.5,Ohio Valley,0.1582,-1.7,Minimal Change,0,0,0,0,La Niña,Strong,Strong La Niña,Nominal,Medium,8,4,2,1,2,2,2
21,ABLI-2001,229675.0,0.010551437632516042,-6505.0,-0.027542552290625792,National Historical Park,344.5,Ohio Valley,0.059000000000000004,-0.6,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Nominal,Medium,8,4,2,1,4,2,2
22,ABLI-2002,250772.0,0.011520649256476816,21097.0,0.0918558833133776,National Historical Park,344.5,Ohio Valley,0.1402,-0.1,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Medium,8,4,2,2,1,2,2
23,ABLI-2003,211650.0,0.009723355937398585,-39122.0,-0.15600625269168808,National Historical Park,344.5,Ohio Valley,0.2112,0.9,Decrease,-1,1,0,0,El Niño,Weak,Weak El Niño,Increased,Medium,8,4,0,0,4,1,2
24,ABLI-2004,201828.0,0.009272126067249146,-9822.0,-0.04640680368532955,National Historical Park,344.5,Ohio Valley,0.20440000000000003,0.3,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Increased,Medium,8,4,2,2,1,1,2
25,ABLI-2005,190809.0,0.008765905140841421,-11019.0,-0.054595992627385695,National Historical Park,344.5,Ohio Valley,0.069,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Nominal,Medium,8,4,2,0,4,2,2
26,ABLI-2006,200054.0,0.009190627208600694,9245.0,0.048451592954210754,National Historical Park,344.5,Ohio Valley,0.19079999999999997,-0.9,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Nominal,Medium,8,4,2,1,4,2,2
27,ABLI-2007,202950.0,0.00932367156860403,2896.0,0.014476091455307066,National Historical Park,344.5,Ohio Valley,0.2758,0.6,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Increased,Medium,8,4,2,0,4,1,2
28,ABLI-2008,200404.0,0.009206706464816566,-2546.0,-0.012544961813254497,National Historical Park,344.5,Ohio Valley,0.2932,-1.6,Minimal Change,0,0,0,0,La Niña,Strong,Strong La Niña,Increased,Medium,8,4,2,1,2,1,2
29,ABLI-2009,221111.0,0.010158001203279653,20707.0,0.10332628091255663,National Historical Park,344.5,Ohio Valley,0.2588,-0.9,Increase,1,1,1,0,La Niña,Weak,Weak La Niña,Increased,Medium,8,4,1,1,4,1,2
30,ABLI-2010,177122.0,0.0081371143413367,-43989.0,-0.19894532610317894,National Historical Park,344.5,Ohio Valley,0.1906,1.5,Decrease,-1,1,0,0,El Niño,Strong,Strong El Niño,Nominal,Medium,8,4,0,0,2,2,2
31,ABLI-2011,163568.0,0.0075144336591940085,-13554.0,-0.07652352615711205,National Historical Park,344.5,Ohio Valley,0.2554,-1.4,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Increased,Medium,8,4,2,1,0,1,2
32,ABLI-2012,169515.0,0.007787643192667712,5947.0,0.03635796732857283,National Historical Park,344.5,Ohio Valley,0.48,-0.8,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Extreme,Medium,8,4,2,1,4,0,2
33,ABLI-2013,163928.0,0.007530972322730335,-5587.0,-0.0329587352151727,National Historical Park,344.5,Ohio Valley,0.192,-0.6,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Nominal,Medium,8,4,2,1,4,2,2
34,ABLI-2014,241264.0,0.011083844776189617,77336.0,0.47176809330925773,National Historical Park,344.5,Ohio Valley,0.303,-0.5,Increase,1,1,1,0,La Niña,Weak,Weak La Niña,Increased,Medium,8,4,1,1,4,1,2
35,ABLI-2015,148605.0,0.006827022485599418,-92659.0,-0.3840564692618874,National Historical Park,344.5,Ohio Valley,0.29100000000000004,0.5,Decrease,-1,1,0,0,El Niño,Weak,Weak El Niño,Increased,Medium,8,4,0,0,4,1,2
36,ABLI-2016,252495.0,0.011599805137790957,103890.0,0.6991016453013021,National Historical Park,344.5,Ohio Valley,0.385,2.2,Increase,1,1,1,0,El Niño,Very Strong,Very Strong El Niño,Increased,Medium,8,4,1,0,3,1,2
37,ABLI-2017,269580.0,0.012384702544785782,17085.0,0.06766470623180657,National Historical Park,344.5,Ohio Valley,0.40700000000000003,-0.7,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Extreme,Medium,8,4,2,1,4,0,2
38,ABLI-2018,260964.0,0.011988877197483035,-8616.0,-0.03196082795459604,National Historical Park,344.5,Ohio Valley,0.34740000000000004,-1.1,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Increased,Medium,8,4,2,1,0,1,2
39,ABLI-2019,238226.0,0.01094427683223584,-22738.0,-0.08713079198663418,National Historical Park,344.5,Ohio Valley,0.41600000000000004,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Extreme,Medium,8,4,2,0,4,0,2
40,ABLI-2020,228141.0,0.010480964549558472,-10085.0,-0.04233375030433286,National Historical Park,344.5,Ohio Valley,0.35340000000000005,0.1,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Increased,Medium,8,4,2,2,1,1,2
41,ABLI-2021,251188.0,0.011539760601007682,23047.0,0.10102085990681202,National Historical Park,344.5,Ohio Valley,0.33840000000000003,-1.2,Increase,1,1,1,0,La Niña,Moderate,Moderate La Niña,Increased,Medium,8,4,1,1,0,1,2
42,ABLI-2022,265707.0,0.012206774089574136,14519.0,0.057801328088921446,National Historical Park,344.5,Ohio Valley,0.061399999999999996,-1.2,Minimal Change,0,0,1,0,La Niña,Moderate,Moderate La Niña,Nominal,Medium,8,4,2,1,0,2,2
43,ABLI-2023,239950.0,0.011023478654282026,-25757.0,-0.096937604203126,National Historical Park,344.5,Ohio Valley,0.38880000000000003,-0.8,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Increased,Medium,8,4,2,1,4,1,2
44,ABLI-2024,249166.0,0.011446868440811983,9216.0,0.03840800166701396,National Historical Park,344.5,Ohio Valley,0.4374,1.2,Minimal Change,0,0,1,0,El Niño,Moderate,Moderate El Niño,Extreme,Medium,8,4,2,0,0,0,2
45,ABLI-2025,212899.0,0.00978073591172323,-36267.0,-0.14555356669850622,National Historical Park,344.5,Ohio Valley,0.1974,-1.1,Decrease,-1,1,0,0,La Niña,Moderate,Moderate La Niña,Nominal,Medium,8,4,0,1,0,2,2
46,ACAD-1980,2779666.0,0.12769989088157324,-7700.0,-0.0027624646350712465,National Park,49076.65,Northeast,0.10619999999999999,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Nominal,Very Large,16,1,2,0,4,2,5
47,ACAD-1981,2997972.0,0.1377290283314657,218306.0,0.07853677384261275,National Park,49076.65,Northeast,0.068,0.0,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,16,1,2,2,1,2,5
48,ACAD-1982,3572114.0,0.16410553210944773,574142.0,0.19151012751286536,National Park,49076.65,Northeast,0.06480000000000001,0.1,Increase,1,1,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,16,1,1,2,1,2,5
49,ACAD-1983,4124639.0,0.18948893508280543,552525.0,0.1546773143298338,National Park,49076.65,Northeast,0.065,2.5,Increase,1,1,1,0,El Niño,Very Strong,Very Strong El Niño,Nominal,Very Large,16,1,1,0,3,2,5
50,ACAD-1984,3734763.0,0.17157774623589206,-389876.0,-0.09452366619236253,National Park,49076.65,Northeast,0.0318,-0.5,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Nominal,Very Large,16,1,2,1,4,2,5
51,ACAD-1985,3745570.0,0.17207422772710618,10807.0,0.0028936240398654478,National Park,49076.65,Northeast,0.1192,-0.8,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Nominal,Very Large,16,1,2,1,4,2,5
52,ACAD-1986,3929054.0,0.1805036170057154,183484.0,0.048986936567732016,National Park,49076.65,Northeast,0.0622,-0.3,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,16,1,2,2,1,2,5
53,ACAD-1987,4288154.0,0.19700093388320103,359100.0,0.09139604596933511,National Park,49076.65,Northeast,0.053,1.6,Minimal Change,0,0,1,0,El Niño,Strong,Strong El Niño,Nominal,Very Large,16,1,2,0,2,2,5
54,ACAD-1988,4502283.0,0.20683817689534004,214129.0,0.04993500699834941,National Park,49076.65,Northeast,0.0602,0.7,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Nominal,Very Large,16,1,2,0,4,2,5
55,ACAD-1989,5440952.0,0.2499613179036178,938669.0,0.2084873385346945,National Park,49076.65,Northeast,0.1298,-1.7,Increase,1,1,1,0,La Niña,Strong,Strong La Niña,Nominal,Very Large,16,1,1,1,2,2,5
