,Visitors Scaled,Area Scaled,cei_pct_area,RONI
2561,0.03223122217994812,0.0344957910220529,0.1666,0.2
1080,0.1884945063915329,0.09096544967859242,0.2696,1.5
3418,0.0720419829809566,0.02722697219682359,0.11,0.6
1416,0.18685337224433374,0.001629559564742136,0.2242,-1.2
24,0.1559043545239546,0.014398841301189588,0.2168,0.3
2606,0.0046593776330101765,0.0344957910220529,0.32520000000000004,1.3
1707,0.08088508403177393,0.23329471131103105,0.0,0.6
3062,0.2933541587402733,0.07801892218460295,0.41259999999999997,1.2
3935,0.0972530686617028,0.04320025295339059,0.2488,-0.5
3073,0.02330359647123323,0.01817263385297442,0.3826,2.3
3959,0.18996186010173463,0.04320025295339059,0.099,-1.6
792,0.06597802726086159,0.03180379846413318,0.2632,-1.4
1645,0.086749132227635,0.006976116286736587,0.1804,-0.6
298,0.06259456946373376,0.010513831525489882,0.265,-0.1
1428,0.13313346817734897,0.004704532287446837,0.25,0.7
464,0.01436361335639296,0.07321993726071716,0.1202,-0.5
1062,0.17395287577318524,0.09096544967859242,0.195,0.6
1457,0.15241773003911718,0.004704532287446837,0.40700000000000003,-0.7
2121,0.0028831593834233375,0.01817263385297442,0.256,-0.8
3723,0.016822101651599104,0.0640255996483016,0.099,-0.1
1632,0.08635574303035233,0.09096544967859242,0.2696,1.5
3259,0.05240952472144994,0.01817263385297442,0.256,-0.8
81,0.09880607684979072,0.022497225547324244,0.3858,0.5
2375,0.03529204575657972,0.015398883858127169,0.132,-1.2
1249,0.020474809674761545,0.031492119140237196,0.0766,-0.9
1748,0.0548562911342743,0.13551952962217376,0.1656,0.0
2385,0.09168891705906727,0.0693531795848928,0.0274,-0.3
2312,0.13261304484509745,0.021136679812765315,0.069,0.6
3342,0.06044014397296115,0.0344957910220529,0.45380000000000004,-1.2
363,0.06437107016831775,0.09904949864744195,0.5376,-1.2
1670,0.10074223524151456,0.09096544967859242,0.4546,0.6
3958,0.1876405743213948,0.04320025295339059,0.2086,0.6
2949,0.041396957451261686,0.06495476972097802,0.491,0.9
2001,0.0035368308605810608,0.01817263385297442,0.1164,-1.5
2944,0.05765654997603369,0.06495476972097802,0.19940000000000002,2.2
3776,0.03327086841071329,0.04293668159954057,0.0766,-0.9
3962,0.19951950168159582,0.04320025295339059,0.1866,-1.4
326,0.007240239555732184,0.09904949864744195,0.2488,-0.5
2755,0.0019019813370685181,0.14810017894304733,0.256,-0.8
1980,0.0024220516005736097,0.01817263385297442,0.2582,-0.2
3865,0.2026822915121991,0.651275385649692,0.002732,-0.9
1787,0.07562887898978275,0.118549935358491,0.0,0.6
1995,0.0032326268286489586,0.01817263385297442,0.4412,2.2
2266,0.02581179684593803,0.03127268025485283,0.3014,0.6
1192,0.012181224820902347,0.01223046190971448,0.1376,0.0
1679,0.11326177053525505,0.006976116286736587,0.3624,-1.2
2832,0.0021809056467555665,0.01817263385297442,0.22899999999999998,0.1
2620,0.0019209058218776648,0.14810017894304733,0.2582,-0.2
3471,0.0791070298247056,0.13551952962217376,0.0,0.6
2600,0.0013644694774893253,0.0344957910220529,0.14,0.3
2362,0.03886418349180471,0.015398883858127169,0.0766,-0.9
835,0.17934056361635042,5.6575348319585556e-05,0.32299999999999995,0.5
696,0.001523915323381314,0.018983011244112096,0.2158,2.3
3717,0.017412503209394904,0.0640255996483016,0.3508,-0.9
3437,0.0603205948954168,0.13551952962217376,0.5682,2.5
3442,0.0691754884423652,0.118549935358491,0.1202,-0.5
838,0.257691320186183,5.6575348319585556e-05,0.34119999999999995,-0.9
1309,0.6618099236043969,0.1532774086372158,0.4142,0.6
898,0.15535363789325857,0.2972461671213726,0.2696,1.5
855,0.1678671004045603,5.6575348319585556e-05,0.192,-0.6
2877,0.0033135501853328465,0.01817263385297442,0.42840000000000006,-1.1
1764,0.0617486167472652,0.13551952962217376,0.044199999999999996,-0.8
1891,0.04893052652153564,0.118549935358491,0.5094,-0.7
1114,0.2465232614400629,0.09096544967859242,0.1646,-1.1
148,0.01817442556421092,0.23505698514771678,0.0902,0.2
230,0.023734622796886328,0.009030646701590152,0.12240000000000001,0.6
3344,0.07047386345052109,0.14810017894304733,0.1818,-1.2
3095,0.02459173248574238,0.14810017894304733,0.14,0.3
1775,0.07115712208863043,0.118549935358491,0.008199999999999999,0.7
528,0.007408300279037292,0.00783147405774708,0.0894,-1.6
1753,0.05868313266318061,0.118549935358491,0.4886,0.1
1003,0.11215249914769204,0.006976116286736587,0.187,0.2
2989,0.012143517078782631,0.007829458434436621,0.295,-0.2
287,0.06560490420962455,0.010513831525489882,0.0834,0.6
3214,0.02052748753173029,0.01817263385297442,0.1568,0.6
614,0.22723045531463085,0.009566787832424364,0.1402,-0.1
658,0.0832602481028204,1.0,0.045599999999999995,-1.7
1638,0.08106359558997364,0.09096544967859242,0.1832,-1.4
725,0.00591863262406059,0.018983011244112096,0.2394,-1.2
3117,0.02214200029544793,0.0344957910220529,0.493,-0.9
2644,0.001517348244697543,0.14810017894304733,0.1164,-1.5
1659,0.09969383290583769,0.006976116286736587,0.445,2.2
3010,0.01568698563179675,0.007829458434436621,0.252,-1.1
2573,0.0016097110287660642,0.0344957910220529,0.0684,0.6
3455,0.0804565291873459,0.13551952962217376,0.027999999999999997,1.6
334,0.02794171936570776,0.09904949864744195,0.2144,2.3
493,0.01497216264775574,0.07321993726071716,0.3486,-0.6
3406,0.04649752978982241,0.02722697219682359,0.2086,0.6
968,0.17893728849416746,0.09096544967859242,0.247,0.1
761,0.05793618042321362,0.41091115870335804,0.12619999999999998,1.3
370,0.02044169182634554,0.07097355882163141,0.15839999999999999,0.1
2278,0.035819248008762884,0.03127268025485283,0.5094,-0.7
3877,0.2905755783195453,0.651275385649692,0.002828,-1.1
1012,0.18138476104448467,0.09096544967859242,0.36219999999999997,0.5
1972,0.0026050118249784557,0.14810017894304733,0.493,-0.9
3913,0.2423120692737828,0.2234928701139527,0.16760000000000003,-1.6
873,0.1131946168596823,0.2972461671213726,0.17980000000000002,-0.8
621,0.1828393336660653,0.009566787832424364,0.2588,-0.9
174,0.02741861271098329,0.23505698514771678,0.4218,2.2
1906,0.039749750521623765,0.13551952962217376,0.7173999999999999,-1.2
543,0.017661487289383902,0.00783147405774708,0.36060000000000003,-0.8
3941,0.14845834650279757,0.04320025295339059,0.1378,0.2
1740,0.21126744053686786,0.23329471131103105,0.332,1.2
1597,0.08334385478197723,0.006976116286736587,0.24420000000000003,-0.6
8,0.3179230829849957,0.014398841301189588,0.0602,0.7
2540,0.04278960181471687,0.0344957910220529,0.1042,0.7
1199,0.010015359902745095,0.031492119140237196,0.2488,-0.5
39,0.2427196518346723,0.014398841301189588,0.3968,0.6
689,0.0009330194693404986,0.018983011244112096,0.11359999999999999,-0.8
1355,0.01165903614491862,0.025339671035899382,0.2266,0.6
163,0.028145440032403237,0.23505698514771678,0.111,0.6
212,0.04844541006392804,0.050748850269539736,0.0894,-1.6
3582,0.08798847414138623,0.118549935358491,0.15539999999999998,0.6
2074,0.0024478256190636786,0.14810017894304733,0.1568,0.6
19,0.18375300496810096,0.014398841301189588,0.365,-1.5
1950,0.00333092116765766,0.01817263385297442,0.1592,0.5
2091,0.002439987492892726,0.01817263385297442,0.04,-0.9
2328,0.03642073592519688,0.021136679812765315,0.33840000000000003,-1.2
1736,0.16944065719369097,0.23329471131103105,0.42200000000000004,0.1
392,0.03881694289353113,0.07097355882163141,0.057999999999999996,0.3
582,0.05340828559137744,0.05375701109409925,0.27940000000000004,2.2
3758,0.04155922784712519,0.04293668159954057,0.0834,0.6
3822,0.04151156356635588,0.009966872922827929,0.1474,-0.9
831,0.17785569769632528,5.6575348319585556e-05,0.2836,-1.7
149,0.020934858251371955,0.23505698514771678,0.2052,0.6
1200,0.012902049973632826,0.01223046190971448,0.207,-0.8
2195,0.0021606395007099507,0.0344957910220529,0.22899999999999998,0.1
1430,0.13557140787151234,0.004704532287446837,0.265,0.2
1431,0.14537965764759614,0.004704532287446837,0.2122,0.6
1622,0.0827681408840333,0.09096544967859242,0.3518,0.6
3647,0.08931791919922878,0.0588121943567271,0.46740000000000004,-1.1
1863,0.04224149789274449,0.118549935358491,0.17579999999999998,1.5
3021,0.18352555808164475,0.07801892218460295,0.3452,2.5
1999,0.0035368308605810608,0.14810017894304733,0.1164,-1.5
1178,0.007592814005926471,0.02264422228546187,0.6265999999999999,-0.5
703,0.005238551604669207,0.018983011244112096,0.201,-1.5
1808,0.035500991840722494,0.13551952962217376,0.6344,-0.9
1965,0.0031810787916688203,0.01817263385297442,0.32520000000000004,1.3
1144,0.002357298792476642,0.02264422228546187,0.1016,0.6
869,0.12615308721899612,0.2972461671213726,0.29960000000000003,0.0
1705,0.06992272313732933,0.23329471131103105,0.0154,-1.7
3612,0.12487180073816789,0.0588121943567271,0.2812,2.5
1836,0.03926032662530961,0.13551952962217376,0.2738,0.9
2014,0.003659557556843362,0.14810017894304733,0.0132,-1.7
218,0.03712482561934614,0.050748850269539736,0.1352,-0.5
1348,0.014035330035953697,0.025339671035899382,0.15560000000000002,-1.7
3760,0.043162795479703205,0.04293668159954057,0.1864,0.5
311,0.12327776596174372,0.010513831525489882,0.3858,0.5
3657,0.04780649686037148,0.02066876180978856,0.247,0.1
2686,0.001194219727956294,0.14810017894304733,0.1362,0.3
2615,0.001970829742624182,0.0344957910220529,0.493,-0.9
3350,0.07047386345052109,0.14810017894304733,0.1818,-1.2
2649,0.0018150558116951621,0.01817263385297442,0.0132,-1.7
2529,0.04601234271846552,0.01817263385297442,0.2726,1.6
2477,0.058540634117117706,0.0344957910220529,0.254,0.0
3213,0.02052748753173029,0.0344957910220529,0.1568,0.6
497,0.027093577623011268,0.07321993726071716,0.5094,-0.7
322,0.0039900299035105485,0.09904949864744195,0.12240000000000001,0.6
2828,0.0021809056467555665,0.0344957910220529,0.22899999999999998,0.1
2054,0.0021030892950403444,0.0344957910220529,0.07780000000000001,0.6
2766,0.0015268811008514042,0.01817263385297442,0.0546,-0.6
2730,0.001904594045792169,0.01817263385297442,0.04,-0.9
3903,0.25824380216061127,0.2234928701139527,0.4722,2.2
2485,0.06051711295968491,0.14810017894304733,0.3642,0.1
1941,0.0031384987008482405,0.01817263385297442,0.3826,2.3
2236,0.0027868422293946963,0.14810017894304733,0.42840000000000006,-1.1
1076,0.182189192876372,0.09096544967859242,0.1474,-0.9
605,0.16002057119744253,0.009566787832424364,0.32299999999999995,0.5
2990,0.006682814618853814,0.007829458434436621,0.4722,2.2
3148,0.019326700725090223,0.01817263385297442,0.0132,-1.7
