,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_West
41,1,0.029348496512888542,0.010144230641819142,0.33840000000000003,-1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,1,0.03104487858874658,0.010144230641819142,0.061399999999999996,-1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,0,0.028035462435576565,0.010144230641819142,0.38880000000000003,-0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,1,0.029112248523537696,0.010144230641819142,0.4374,1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,0,0.024874856916323462,0.010144230641819142,0.1974,-1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,0,0.0029179313976498817,0.0007014095033037211,0.10619999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,0.003161072874326001,0.0007014095033037211,0.068,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0.002972378263642708,0.0007014095033037211,0.06480000000000001,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,0.0030567358543011213,0.0007014095033037211,0.065,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,0.0027337934989273617,0.0007014095033037211,0.0318,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,0.002868975953763628,0.0007014095033037211,0.1192,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,0.002885099703778671,0.0007014095033037211,0.0622,-0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,0.002993058725618524,0.0007014095033037211,0.053,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,0.002525703652718727,0.0007014095033037211,0.0602,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,0.0026399719680427276,0.0007014095033037211,0.1298,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,0.002373579576489843,0.0007014095033037211,0.3194,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1,0.003149739513808181,0.0007014095033037211,0.2724,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1,0.0032013822493636083,0.0007014095033037211,0.1628,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1,0.005126534633406097,0.0007014095033037211,0.021,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0,0.004811303636735184,0.0007014095033037211,0.1168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1,0.005527875802258797,0.0007014095033037211,0.064,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,0.004466746109239809,0.0007014095033037211,0.31079999999999997,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1,0.006618098348565798,0.0007014095033037211,0.059000000000000004,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1,0.007427323657291797,0.0007014095033037211,0.4708,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1,0.009881521983856854,0.0007014095033037211,0.365,-1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1,0.01020551588814464,0.0007014095033037211,0.1158,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1,0.019570493677678994,0.0007014095033037211,0.21960000000000002,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1,0.020323402700120567,0.0007014095033037211,0.155,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1,0.02519733191662432,0.0007014095033037211,0.3132,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1,0.027983352344948236,0.0007014095033037211,0.2168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0,0.02575909271424988,0.0007014095033037211,0.2868,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
