,Park_Code,Designation,Region,Gross Area Acres,Year,Percentage Area
90,ABLI,National Historical Park,Ohio Valley,344.5,2000,0.1582
91,ABLI,National Historical Park,Ohio Valley,344.5,2001,0.059000000000000004
92,ABLI,National Historical Park,Ohio Valley,344.5,2002,0.1402
93,ABLI,National Historical Park,Ohio Valley,344.5,2003,0.2112
94,ABLI,National Historical Park,Ohio Valley,344.5,2004,0.20440000000000003
95,ABLI,National Historical Park,Ohio Valley,344.5,2005,0.069
96,ABLI,National Historical Park,Ohio Valley,344.5,2006,0.19079999999999997
97,ABLI,National Historical Park,Ohio Valley,344.5,2007,0.2758
98,ABLI,National Historical Park,Ohio Valley,344.5,2008,0.2932
99,ABLI,National Historical Park,Ohio Valley,344.5,2009,0.2588
100,ABLI,National Historical Park,Ohio Valley,344.5,2010,0.1906
101,ABLI,National Historical Park,Ohio Valley,344.5,2011,0.2554
102,ABLI,National Historical Park,Ohio Valley,344.5,2012,0.48
103,ABLI,National Historical Park,Ohio Valley,344.5,2013,0.192
104,ABLI,National Historical Park,Ohio Valley,344.5,2014,0.303
105,ABLI,National Historical Park,Ohio Valley,344.5,2015,0.29100000000000004
106,ABLI,National Historical Park,Ohio Valley,344.5,2016,0.385
107,ABLI,National Historical Park,Ohio Valley,344.5,2017,0.40700000000000003
108,ABLI,National Historical Park,Ohio Valley,344.5,2018,0.34740000000000004
109,ABLI,National Historical Park,Ohio Valley,344.5,2019,0.41600000000000004
110,ABLI,National Historical Park,Ohio Valley,344.5,2020,0.35340000000000005
111,ABLI,National Historical Park,Ohio Valley,344.5,2021,0.33840000000000003
112,ABLI,National Historical Park,Ohio Valley,344.5,2022,0.061399999999999996
113,ABLI,National Historical Park,Ohio Valley,344.5,2023,0.38880000000000003
114,ABLI,National Historical Park,Ohio Valley,344.5,2024,0.4374
115,ABLI,National Historical Park,Ohio Valley,344.5,2025,0.1974
116,ACAD,National Park,Northeast,49076.65,1910,0.21239999999999998
117,ACAD,National Park,Northeast,49076.65,1911,0.26039999999999996
118,ACAD,National Park,Northeast,49076.65,1912,0.2566
119,ACAD,National Park,Northeast,49076.65,1913,0.2336
120,ACAD,National Park,Northeast,49076.65,1914,0.43439999999999995
121,ACAD,National Park,Northeast,49076.65,1915,0.196
122,ACAD,National Park,Northeast,49076.65,1916,0.23379999999999998
123,ACAD,National Park,Northeast,49076.65,1917,0.44520000000000004
124,ACAD,National Park,Northeast,49076.65,1918,0.30879999999999996
125,ACAD,National Park,Northeast,49076.65,1919,0.0316
126,ACAD,National Park,Northeast,49076.65,1920,0.19879999999999998
127,ACAD,National Park,Northeast,49076.65,1921,0.24480000000000002
128,ACAD,National Park,Northeast,49076.65,1922,0.1246
129,ACAD,National Park,Northeast,49076.65,1923,0.2594
130,ACAD,National Park,Northeast,49076.65,1924,0.575
131,ACAD,National Park,Northeast,49076.65,1925,0.1192
132,ACAD,National Park,Northeast,49076.65,1926,0.3848
133,ACAD,National Park,Northeast,49076.65,1927,0.07
134,ACAD,National Park,Northeast,49076.65,1928,0.121
135,ACAD,National Park,Northeast,49076.65,1929,0.0594
136,ACAD,National Park,Northeast,49076.65,1930,0.1618
137,ACAD,National Park,Northeast,49076.65,1931,0.1788
138,ACAD,National Park,Northeast,49076.65,1932,0.1076
139,ACAD,National Park,Northeast,49076.65,1933,0.071
140,ACAD,National Park,Northeast,49076.65,1934,0.2278
141,ACAD,National Park,Northeast,49076.65,1935,0.1268
142,ACAD,National Park,Northeast,49076.65,1936,0.1052
