,cei_pct_area,RONI,Gross Area Acres,Desig_NatlPark,Region_Multiple,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_Upper Midwest,Region_West
6953,0.132,-1.2,1201647.03,1,False,False,False,False,False,False,False,True,False,False
5878,0.201,-1.5,8.14,0,False,False,False,False,False,False,True,False,False,False
14186,0.1362,0.3,504780.94,1,False,False,False,True,False,False,False,False,False,False
6456,0.069,0.6,240.0,0,False,False,False,False,True,False,False,False,False,False
16055,0.3132,0.9,21.25,0,False,True,False,False,False,False,False,False,False,False
4514,0.3194,0.2,0.45,0,False,True,False,False,False,False,False,False,False,False
4307,0.265,-0.1,1278.72,0,False,False,False,False,False,False,False,True,False,False
7050,0.1018,0.6,23777.22,1,False,False,True,False,False,False,False,False,False,False
15601,0.1192,-0.8,58.38,0,False,True,False,False,False,False,False,False,False,False
11640,0.001044,0.6,52380.46,0,True,False,False,False,False,False,False,False,False,False
8530,0.17980000000000002,-0.8,1273.51,0,False,False,True,False,False,False,False,False,False,False
3202,0.45439999999999997,-0.7,20536.39,0,False,False,False,False,False,False,False,True,False,False
14586,0.4224,-0.9,68738.95,0,False,False,False,False,False,False,False,False,True,False
10567,0.3432,0.7,765.34,0,False,False,True,False,False,False,False,False,False,False
11909,0.25,0.7,72390.91,1,False,False,False,False,True,False,False,False,False,False
7766,0.002552,2.5,3666.21,0,True,False,False,False,False,False,False,False,False,False
10245,0.1042,0.7,100390.31,0,False,False,False,True,False,False,False,False,False,False
9945,0.0546,-0.6,61939.15,1,False,False,False,True,False,False,False,False,False,False
8901,0.295,-0.2,388.5,0,False,False,False,False,False,False,False,False,False,True
8259,0.11,0.6,784.93,0,False,False,False,False,False,False,False,True,False,False
10288,0.044199999999999996,-0.8,106589.02,1,False,False,False,False,False,False,False,False,False,True
13225,0.155,0.1,73235.97,0,False,False,False,False,False,False,False,False,True,False
2976,0.2086,0.6,12024.73,0,False,False,False,False,False,False,False,True,False,False
5192,0.11359999999999999,-0.8,300.11,0,False,False,False,False,False,False,True,False,False,False
8276,0.1378,0.2,160.09,0,False,False,False,False,False,False,False,True,False,False
2918,0.10859999999999999,1.3,9898.63,0,False,False,False,False,False,True,False,False,False,False
1359,0.15839999999999999,0.1,30779.83,1,False,False,False,False,False,False,False,True,False,False
16043,0.2724,0.6,21.25,0,False,True,False,False,False,False,False,False,False,False
625,0.36060000000000003,-0.8,1774.6,0,False,False,False,False,False,False,True,False,False,False
2886,0.001376,-0.9,9523.48,0,True,False,False,False,False,False,False,False,False,False
8630,0.17980000000000002,-0.8,310044.36,1,False,False,True,False,False,False,False,False,False,False
13255,0.5226,-0.8,73235.97,0,False,False,False,False,False,False,False,False,True,False
1872,0.115,1.5,235.37,0,False,False,False,False,False,True,False,False,False,False
4697,0.1568,-0.9,0.3,0,False,False,False,False,False,False,True,False,False,False
6035,0.5197999999999999,0.1,8585.11,0,False,False,False,False,False,False,True,False,False,False
17101,0.044199999999999996,-0.8,42503.25,0,False,False,False,False,False,False,False,False,False,True
13496,0.1744,-0.8,71026.38,0,False,False,False,False,False,False,False,False,False,True
13528,0.4384,2.2,18.07,0,False,False,False,False,False,False,True,False,False,False
6301,0.0602,0.7,0.76,0,False,True,False,False,False,False,False,False,False,False
8911,0.2982,0.6,388.5,0,False,False,False,False,False,False,False,False,False,True
360,0.4384,2.2,515.61,0,False,False,False,False,False,False,True,False,False,False
13906,0.444,-0.5,42.18,0,False,False,False,False,False,False,False,False,True,False
16861,0.1784,-0.3,218223.25,1,False,False,False,False,False,False,False,False,True,False
13409,0.0946,0.1,4620.06,0,False,False,False,False,False,False,True,False,False,False
16896,0.4174,-1.2,218223.25,1,False,False,False,False,False,False,False,False,True,False
9411,0.6265999999999999,-0.5,461901.37,1,False,False,False,False,False,False,False,False,False,True
406,0.43439999999999995,2.2,16.68,0,False,False,False,False,True,False,False,False,False,False
13860,0.1716,-1.2,8144.28,0,False,False,False,False,False,False,True,False,False,False
11989,0.0017579999999999998,-1.2,4564.93,0,True,False,False,False,False,False,False,False,False,False
9826,0.0132,-1.7,504780.94,1,False,False,False,True,False,False,False,False,False,False
8018,0.109,-1.6,210.45,0,False,False,True,False,False,False,False,False,False,False
5537,0.001546,-1.6,75.0,0,True,False,False,False,False,False,False,False,False,False
10532,0.201,-1.5,7.29,0,False,False,False,False,False,False,True,False,False,False
4588,0.3496,-1.1,19580.65,0,False,True,False,False,False,False,False,False,False,False
12705,0.1818,-1.2,4554.03,0,False,False,False,True,False,False,False,False,False,False
8055,0.2662,-1.5,1775.78,0,False,False,False,False,True,False,False,False,False,False
7533,0.1168,0.3,254.9,0,False,False,False,False,False,False,True,False,False,False
17187,0.1782,-0.1,18.07,0,False,False,False,False,False,False,True,False,False,False
14307,0.18,-0.7,117574.59,1,False,False,False,True,False,False,False,False,False,False
14449,0.1158,-1.7,83.02,0,False,True,False,False,False,False,False,False,False,False
9449,0.332,1.2,461901.37,1,False,False,False,False,False,False,False,False,False,True
9858,0.31420000000000003,0.9,61939.15,1,False,False,False,True,False,False,False,False,False,False
5390,0.201,-1.5,5623.1,0,False,False,False,False,False,False,True,False,False,False
9410,0.6265999999999999,-0.5,404062.63,1,False,False,False,False,False,False,False,False,False,True
11156,0.5256000000000001,-1.1,52485.17,1,False,False,False,False,False,False,False,True,False,False
5301,0.155,-0.1,902.8,0,False,True,False,False,False,False,False,False,False,False
4592,0.2064,-1.2,19580.65,0,False,True,False,False,False,False,False,False,False,False
11769,0.198,1.6,7636.49,0,False,False,False,False,False,False,False,True,False,False
10227,0.4218,2.2,44977.63,0,False,False,False,False,False,True,False,False,False,False
14000,0.3322,2.2,265917.74,1,False,False,False,False,False,False,False,True,False,False
9375,0.3014,0.6,461901.37,1,False,False,False,False,False,False,False,False,False,True
8038,0.12300000000000001,0.1,1775.78,0,False,False,False,False,True,False,False,False,False,False
5409,0.46740000000000004,-1.1,5623.1,0,False,False,False,False,False,False,True,False,False,False
15648,0.064,1.3,62.48,0,False,True,False,False,False,False,False,False,False,False
1387,0.0724,1.5,30779.83,1,False,False,False,False,False,False,False,True,False,False
16096,0.201,-1.5,18.36,0,False,False,False,False,False,False,True,False,False,False
13922,0.1328,-0.5,1754.7,0,False,False,False,False,False,False,True,False,False,False
4319,0.35200000000000004,-0.5,1278.72,0,False,False,False,False,False,False,False,True,False,False
1178,0.1184,0.1,969.61,0,False,False,True,False,False,False,False,False,False,False
4798,0.1782,-0.3,46263.07,0,False,False,False,False,False,False,True,False,False,False
9939,0.256,-0.8,61939.15,1,False,False,False,True,False,False,False,False,False,False
7984,0.4376,0.1,838.43,0,False,True,False,False,False,False,False,False,False,False
13881,0.0848,0.9,13123.39,0,False,False,False,False,False,True,False,False,False,False
5050,0.3034,0.0,305.34,0,False,False,False,False,False,False,True,False,False,False
590,0.2186,0.7,1774.6,0,False,False,False,False,False,False,True,False,False,False
16524,0.057999999999999996,0.3,811.89,0,False,False,False,False,False,False,False,True,False,False
7165,0.1184,0.1,310044.36,1,False,False,True,False,False,False,False,False,False,False
2843,0.004725999999999999,-0.8,19630.99,0,True,False,False,False,False,False,False,False,False,False
16236,0.133,-0.6,138.39,0,False,False,False,False,False,False,True,False,False,False
2711,0.0572,-1.4,249561.0,1,False,False,False,False,False,False,False,False,False,True
11059,0.637,-0.9,284.93,0,False,True,False,False,False,False,False,False,False,False
5882,0.2336,0.9,8.14,0,False,False,False,False,False,False,True,False,False,False
4189,0.5226,-0.8,2526.39,0,False,False,False,False,False,False,False,False,True,False
5400,0.1226,-0.9,5623.1,0,False,False,False,False,False,False,True,False,False,False
194,0.3624,-1.2,3057.87,0,False,False,True,False,False,False,False,False,False,False
17201,0.1226,-0.9,18.07,0,False,False,False,False,False,False,True,False,False,False
13888,0.115,1.5,13123.39,0,False,False,False,False,False,True,False,False,False,False
6077,0.4376,0.1,674.56,0,False,True,False,False,False,False,False,False,False,False
2574,0.41259999999999997,1.2,6154.6,0,False,False,False,False,False,False,False,True,False,False
939,0.3322,2.2,33676.67,0,False,False,False,False,False,False,False,True,False,False
9010,0.6265999999999999,-0.5,795155.85,1,False,False,False,False,False,False,False,False,False,True
