,Park_Code,Visitors,Designation,Gross Area Acres,State List,State Count,CEI Region
382,TUIN,119240.93617021276,National Historic Site,57.92,AL,1,Southeast
383,TULE,570.45,National Monument,37.39,CA,1,West
384,TUMA,48961.53191489362,National Historical Park,360.32,AZ,1,Southwest
385,TUSK,11607.8,National Monument,22650.0,NV,1,West
386,TUZI,104319.87234042553,National Monument,811.89,AZ,1,Southwest
387,ULSG,24811.025,National Historic Site,9.6,MO,1,Ohio Valley
388,UPDE,249284.17021276595,Scenic & Recreational River,74999.56,"NY,PA",2,Northeast
389,VAFO,2174784.255319149,National Historical Park,3468.54,PA,1,Northeast
390,VALL,20695.15,National Preserve,89831.84,NM,1,Southwest
391,VALR,1377300.1489361702,National Memorial,21.64,HI,1,OCONUS
392,VAMA,386838.3617021277,National Historic Site,211.65,NY,1,Northeast
393,VICK,709184.5957446808,National Military Park,3048.27,"MS,LA",2,South
394,VIIS,549972.7446808511,National Park,15041.03,VI,1,OCONUS-T
395,VIVE,3252930.5531914895,Undesignated,2.18,DC,1,Southeast
396,VOYA,221457.95744680852,National Park,218223.25,MN,1,Upper Midwest
397,WABA,7615.325,National Historic Site,315.2,OK,1,South
398,WACA,129544.0,National Monument,3200.61,AZ,1,Southwest
399,WACO,46395.65,National Monument,107.23,TX,1,South
400,WAMO,659640.8085106383,Undesignated,106.01,DC,1,Southeast
401,WAPA,174707.8510638298,National Historical Park,2030.3,GU,1,OCONUS-T
402,WEFA,18384.725,National Historical Park,74.2,CT,1,Northeast
403,WHHO,747712.2528735632,Undesignated,18.07,DC,1,Southeast
404,WHHO,747712.2528735632,Undesignated,18.07,DC,1,Southeast
405,WHIS,965737.2765957447,National Recreation Area,42503.25,CA,1,West
406,WHMI,70267.14893617021,National Historic Site,138.53,WA,1,Northwest
407,WHSA,552175.8297872341,National Park,146344.31,NM,1,Southwest
408,WICA,611387.0212765958,National Park,33970.84,SD,1,Northern Rockies and Plains
409,WICL,6290.75,National Historic Site,0.68,AR,1,South
410,WICR,195024.68085106384,National Battlefield,2446.75,MO,1,Ohio Valley
411,WIHO,13989.36170212766,National Historic Site,3.64,OH,1,Ohio Valley
412,WORI,24615.68085106383,National Historical Park,7.44,NY,1,Northeast
413,WOTR,487603.3617021277,Undesignated,130.28,VA,1,Southeast
414,WRBR,441226.6595744681,National Memorial,428.44,NC,1,Southeast
415,WRST,47457.17021276596,National Park & Preserve,4852644.89,AK,1,OCONUS
416,WRST,47457.17021276596,National Park & Preserve,8323146.48,AK,1,OCONUS
417,WUPA,219036.6595744681,National Monument,35401.83,AZ,1,Southwest
418,WWII,2376994.45,Undesignated,8.25,DC,1,Southeast
419,WWIM,221892.3,Undesignated,1.39,DC,1,Southeast
420,YELL,3168128.085106383,National Park,2219790.71,"ID,MT,WY",3,Multiple
421,YOSE,3491685.8936170214,National Park,761747.5,CA,1,West
422,YUCH,2795.1063829787236,National Preserve,2526512.44,AK,1,OCONUS
423,ZION,2745701.9787234045,National Park,147242.66,UT,1,Southwest
