,Traffic Trend Bins,Region Code,Desig Code,GAA Cat Code,RONI Event Code,RONI Int Code,CEI Cat Code
5998,0,6,0,5,0,4,2
5999,1,6,0,2,1,4,1
6000,1,6,0,5,1,4,1
6001,0,6,0,2,0,4,0
6002,0,6,0,5,0,4,0
6003,0,6,0,2,1,2,2
6004,0,6,0,5,1,2,2
6005,1,6,0,2,1,4,2
6006,1,6,0,5,1,4,2
6007,0,6,0,2,0,2,2
6008,0,6,0,5,0,2,2
6009,0,6,0,2,1,0,1
6010,0,6,0,5,1,0,1
6011,0,6,0,2,1,4,1
6012,0,6,0,5,1,4,1
6013,0,6,0,2,1,4,1
6014,0,6,0,5,1,4,1
6015,-1,6,0,2,1,4,2
6016,-1,6,0,5,1,4,2
6017,0,6,0,2,0,4,1
6018,0,6,0,5,0,4,1
6019,0,6,0,2,0,3,0
6020,0,6,0,5,0,3,0
6021,0,6,0,2,1,4,0
6022,0,6,0,5,1,4,0
6023,0,6,0,2,1,0,0
6024,0,6,0,5,1,0,0
6025,0,6,0,2,0,4,0
6026,0,6,0,5,0,4,0
6027,1,6,0,2,2,1,0
6028,1,6,0,5,2,1,0
6029,-1,6,0,2,1,0,1
6030,-1,6,0,5,1,0,1
6031,0,6,0,2,1,0,2
6032,0,6,0,5,1,0,2
6033,0,6,0,2,1,4,1
6034,0,6,0,5,1,4,1
6035,-1,6,0,2,0,0,0
6036,-1,6,0,5,0,0,0
6037,1,6,0,2,1,0,2
6038,1,6,0,5,1,0,2
6039,10,7,10,1,0,4,2
6040,1,7,10,1,2,1,2
6041,0,7,10,1,0,0,2
6042,0,7,10,1,1,4,2
6043,0,7,10,1,2,1,2
6044,0,7,10,1,0,3,2
6045,0,7,10,1,1,2,2
6046,0,7,10,1,1,2,2
6047,0,7,10,1,1,4,2
6048,-1,7,10,1,2,1,1
6049,0,7,10,1,0,4,0
6050,0,7,10,1,2,1,2
6051,0,7,10,1,0,4,2
6052,-1,7,10,1,1,4,2
6053,0,7,10,1,0,4,1
6054,1,7,10,1,1,2,2
6055,0,7,10,1,1,4,2
6056,0,7,10,1,0,2,2
6057,-1,7,10,1,1,0,2
6058,0,7,10,1,1,4,0
6059,-1,7,10,1,1,4,2
6060,0,7,10,1,1,4,1
6061,-1,7,10,1,0,4,1
6062,-10,7,10,1,0,3,1
6063,1,9,10,3,0,0,1
6064,1,9,10,3,1,0,0
6065,-1,7,10,2,0,4,2
6066,0,7,10,2,2,1,2
6067,0,7,10,2,0,0,2
6068,0,7,10,2,1,4,2
6069,-1,7,10,2,2,1,2
6070,0,7,10,2,0,3,2
6071,0,7,10,2,1,2,2
6072,0,7,10,2,1,2,2
6073,0,7,10,2,1,4,2
6074,0,7,10,2,2,1,1
6075,0,7,10,2,0,4,0
6076,0,7,10,2,2,1,2
6077,0,7,10,2,0,4,2
6078,0,7,10,2,1,4,2
